latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
26.5659,101.67464,327.59,0.34,0.56,2025-06-27,0544,N,low,2.0NRT,299.34,4.85,D
26.56678,101.6729,327.83,0.34,0.56,2025-06-27,0544,N,low,2.0NRT,298.51,4.82,D
26.57619,101.66688,367,0.34,0.56,2025-06-27,0544,N,high,2.0NRT,298.88,9.21,D
6.29274,81.35954,329.73,0.39,0.59,2025-06-27,0720,N,nominal,2.0NRT,294.04,2.87,D
6.29265,81.3601,328.25,0.39,0.59,2025-06-27,0720,N,nominal,2.0NRT,294.03,2,D
7.3652,81.31638,330.9,0.38,0.58,2025-06-27,0720,N,nominal,2.0NRT,289.73,3.03,D
7.54743,81.16933,330.72,0.38,0.59,2025-06-27,0720,N,nominal,2.0NRT,285.58,4.31,D
8.24031,80.1579,327.69,0.44,0.62,2025-06-27,0720,N,nominal,2.0NRT,287.91,3.04,D
8.34178,80.22992,334.29,0.43,0.62,2025-06-27,0720,N,nominal,2.0NRT,289.54,3.25,D
8.34365,80.22975,336.58,0.43,0.62,2025-06-27,0720,N,nominal,2.0NRT,291.06,2.93,D
8.83549,80.99697,344.49,0.37,0.58,2025-06-27,0720,N,nominal,2.0NRT,293.14,4.97,D
9.37276,80.6507,337.8,0.39,0.59,2025-06-27,0720,N,nominal,2.0NRT,291.89,4.97,D
8.99382,77.94114,337.23,0.59,0.7,2025-06-27,0720,N,nominal,2.0NRT,288.75,8.11,D
8.9928,77.93568,338.53,0.59,0.7,2025-06-27,0720,N,nominal,2.0NRT,291.8,10.78,D
8.99266,77.93597,346.49,0.59,0.7,2025-06-27,0720,N,nominal,2.0NRT,291.96,14.7,D
9.37493,78.90691,330.35,0.5,0.66,2025-06-27,0720,N,nominal,2.0NRT,292.9,4.61,D
9.37594,78.908,333.36,0.5,0.66,2025-06-27,0720,N,nominal,2.0NRT,292.56,2.96,D
9.138,77.61922,335.84,0.62,0.71,2025-06-27,0720,N,nominal,2.0NRT,288.45,7.42,D
9.38988,78.75016,333.74,0.52,0.67,2025-06-27,0720,N,nominal,2.0NRT,292.14,3.2,D
13.26345,79.57245,333.71,0.39,0.59,2025-06-27,0722,N,nominal,2.0NRT,289.89,5.2,D
13.26889,79.57137,351.29,0.39,0.59,2025-06-27,0722,N,nominal,2.0NRT,290.54,5.2,D
13.26336,79.57105,330.93,0.39,0.59,2025-06-27,0722,N,nominal,2.0NRT,290.63,4.5,D
13.26881,79.57001,332.96,0.39,0.59,2025-06-27,0722,N,nominal,2.0NRT,290.31,5.58,D
13.09337,78.27289,330.53,0.48,0.64,2025-06-27,0722,N,nominal,2.0NRT,291.32,4.3,D
13.53517,79.79584,333.68,0.37,0.58,2025-06-27,0722,N,nominal,2.0NRT,288.99,2.68,D
14.14992,79.65195,340.61,0.37,0.58,2025-06-27,0722,N,nominal,2.0NRT,277.3,3.45,D
23.34438,100.43079,331.16,0.63,0.72,2025-06-27,0724,N,nominal,2.0NRT,286.52,4.49,D
26.98184,80.20368,332.53,0.39,0.44,2025-06-27,0726,N,nominal,2.0NRT,295.95,3.81,D
26.98218,80.20394,337.16,0.39,0.44,2025-06-27,0726,N,nominal,2.0NRT,296.18,3.27,D
27.07148,80.23166,335.37,0.39,0.44,2025-06-27,0726,N,nominal,2.0NRT,296.56,3.12,D
27.08741,80.12117,331.75,0.4,0.44,2025-06-27,0726,N,nominal,2.0NRT,296.43,2.75,D
27.01088,79.56634,338.44,0.43,0.46,2025-06-27,0726,N,nominal,2.0NRT,294.55,3.32,D
27.06278,78.61596,342.61,0.48,0.48,2025-06-27,0726,N,nominal,2.0NRT,293.46,6.44,D
27.83183,79.60954,339.33,0.41,0.45,2025-06-27,0726,N,nominal,2.0NRT,295.32,5.08,D
28.26471,78.19566,339.51,0.48,0.48,2025-06-27,0726,N,nominal,2.0NRT,294.17,8.36,D
29.51849,77.02397,334.03,0.53,0.5,2025-06-27,0726,N,nominal,2.0NRT,292.27,2.03,D
30.34217,80.08061,342.03,0.53,0.42,2025-06-27,0726,N,nominal,2.0NRT,303.19,9.64,D
30.34352,80.07825,348,0.53,0.42,2025-06-27,0726,N,nominal,2.0NRT,302.2,12.71,D
30.22526,78.64845,335.63,0.42,0.45,2025-06-27,0726,N,nominal,2.0NRT,293.19,3.74,D
30.76782,79.84653,331.75,0.53,0.42,2025-06-27,0726,N,nominal,2.0NRT,299.44,3.8,D
30.63652,75.88567,330.53,0.59,0.53,2025-06-27,0726,N,nominal,2.0NRT,291.97,8.16,D
30.78642,76.21691,331.56,0.56,0.51,2025-06-27,0726,N,nominal,2.0NRT,291.52,6.93,D
30.71751,75.61463,330.51,0.61,0.53,2025-06-27,0726,N,nominal,2.0NRT,287.05,4.09,D
30.77656,75.66979,333.68,0.6,0.53,2025-06-27,0726,N,nominal,2.0NRT,291.42,6.64,D
30.78331,75.6545,341.32,0.6,0.53,2025-06-27,0726,N,nominal,2.0NRT,290.08,9.69,D
30.7881,75.65302,336.9,0.6,0.53,2025-06-27,0726,N,nominal,2.0NRT,289.4,9.69,D
30.8375,75.52266,340.91,0.61,0.53,2025-06-27,0726,N,nominal,2.0NRT,291.52,10.95,D
30.92995,75.49255,342.36,0.61,0.53,2025-06-27,0726,N,nominal,2.0NRT,292.06,8.4,D
30.90704,75.26019,335.97,0.63,0.54,2025-06-27,0726,N,nominal,2.0NRT,290.35,6.94,D
38.13622,67.81297,333.38,0.52,0.67,2025-06-27,0731,N,nominal,2.0NRT,298.87,3.6,D
38.04768,67.26711,367,0.56,0.69,2025-06-27,0731,N,high,2.0NRT,311.98,33.8,D
38.04588,67.26109,340.99,0.56,0.69,2025-06-27,0731,N,nominal,2.0NRT,305.56,20.94,D
38.05384,67.26466,367,0.56,0.69,2025-06-27,0731,N,high,2.0NRT,309.27,33.8,D
38.05205,67.2587,367,0.56,0.69,2025-06-27,0731,N,high,2.0NRT,304.43,20.94,D
38.05077,67.26998,344,0.56,0.69,2025-06-27,0731,N,nominal,2.0NRT,304.27,42.07,D
38.04893,67.26396,355.86,0.56,0.69,2025-06-27,0731,N,nominal,2.0NRT,325.41,35.92,D
38.04708,67.25787,344.01,0.56,0.69,2025-06-27,0731,N,nominal,2.0NRT,305.08,35.92,D
38.03813,65.47802,338.14,0.68,0.74,2025-06-27,0731,N,nominal,2.0NRT,304.36,11.28,D
38.03571,65.47044,342.97,0.68,0.74,2025-06-27,0731,N,nominal,2.0NRT,303.68,7.86,D
39.80227,67.52112,330.34,0.48,0.65,2025-06-27,0731,N,low,2.0NRT,303.4,5.13,D
9.43449,78.73985,342.93,0.76,0.77,2025-06-27,0902,N,nominal,2.0NRT,288.79,8.99,D
9.43676,78.73857,339.19,0.76,0.77,2025-06-27,0902,N,nominal,2.0NRT,288.81,7.26,D
9.32926,77.41123,333.18,0.62,0.71,2025-06-27,0902,N,nominal,2.0NRT,289.03,6.7,D
9.91267,78.0705,333.01,0.7,0.75,2025-06-27,0902,N,nominal,2.0NRT,289.54,3.78,D
22.781,55.81811,347.35,0.41,0.45,2025-06-27,0907,N,nominal,2.0NRT,313.59,1.38,D
22.87613,55.92454,345.01,0.4,0.44,2025-06-27,0907,N,nominal,2.0NRT,314.05,0.72,D
23.1917,55.46318,342.25,0.42,0.45,2025-06-27,0907,N,nominal,2.0NRT,303.6,6.69,D
23.19092,55.45907,346.9,0.42,0.45,2025-06-27,0907,N,nominal,2.0NRT,305.36,6.69,D
24.50577,56.6088,343.98,0.52,0.42,2025-06-27,0905,N,nominal,2.0NRT,305.58,13.14,D
24.50331,56.60641,340.41,0.52,0.42,2025-06-27,0905,N,nominal,2.0NRT,305.88,14.66,D
27.31621,67.85317,337.78,0.5,0.49,2025-06-27,0905,N,nominal,2.0NRT,287.32,4.14,D
28.1026,67.633,335.56,0.49,0.49,2025-06-27,0905,N,nominal,2.0NRT,284.9,3.68,D
28.24978,67.94413,352.13,0.51,0.5,2025-06-27,0905,N,nominal,2.0NRT,290.27,12.44,D
28.25846,67.93772,343.47,0.51,0.5,2025-06-27,0905,N,nominal,2.0NRT,290.12,10.88,D
28.2636,67.94248,340.78,0.51,0.5,2025-06-27,0905,N,nominal,2.0NRT,291.37,8.38,D
28.25712,67.9349,344.92,0.51,0.5,2025-06-27,0905,N,nominal,2.0NRT,289.77,8.9,D
28.26733,67.94441,346.26,0.51,0.5,2025-06-27,0905,N,nominal,2.0NRT,290.27,7.91,D
