latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
22.30177,97.90886,326.04,0.46,0.63,2025-06-21,0555,N,nominal,2.0NRT,281.23,2.72,D
6.67639,81.24043,333.04,0.48,0.48,2025-06-21,0731,N,nominal,2.0NRT,294.59,7.83,D
7.21794,81.22755,340.21,0.47,0.48,2025-06-21,0731,N,nominal,2.0NRT,294.89,3.79,D
7.43859,81.36369,340.29,0.46,0.47,2025-06-21,0731,N,nominal,2.0NRT,294.73,6.11,D
7.55716,81.10713,347.2,0.47,0.48,2025-06-21,0731,N,nominal,2.0NRT,294.54,6.56,D
7.64817,80.84613,340.41,0.49,0.49,2025-06-21,0731,N,nominal,2.0NRT,293.31,6.93,D
8.59024,78.13539,348.27,0.36,0.57,2025-06-21,0731,N,nominal,2.0NRT,298.42,2.76,D
8.65299,78.09583,332.98,0.36,0.57,2025-06-21,0731,N,nominal,2.0NRT,297.82,3.7,D
8.78988,78.07854,337.56,0.36,0.57,2025-06-21,0731,N,nominal,2.0NRT,298.42,1.39,D
8.79038,78.02069,343.34,0.36,0.58,2025-06-21,0731,N,nominal,2.0NRT,298.43,4.66,D
8.78979,78.01738,343.82,0.36,0.58,2025-06-21,0731,N,nominal,2.0NRT,298.24,3.7,D
8.79568,78.01974,341.28,0.36,0.58,2025-06-21,0731,N,nominal,2.0NRT,297.6,2.28,D
8.79509,78.01644,340.37,0.36,0.58,2025-06-21,0731,N,nominal,2.0NRT,299.3,2.54,D
8.7998,78.01219,330.75,0.36,0.58,2025-06-21,0731,N,nominal,2.0NRT,299.34,2.54,D
8.81276,77.99282,334.27,0.36,0.58,2025-06-21,0731,N,nominal,2.0NRT,300.28,3.17,D
8.82631,78.00751,330.17,0.36,0.58,2025-06-21,0731,N,nominal,2.0NRT,299.45,2.01,D
8.88341,78.14796,341.7,0.35,0.57,2025-06-21,0731,N,nominal,2.0NRT,296.76,3.03,D
8.85117,77.97122,331.74,0.36,0.58,2025-06-21,0731,N,nominal,2.0NRT,299.04,3.44,D
8.85056,77.96791,352.09,0.36,0.58,2025-06-21,0731,N,nominal,2.0NRT,299.03,3.44,D
8.85527,77.96365,338.29,0.36,0.58,2025-06-21,0731,N,nominal,2.0NRT,298.72,2.8,D
8.85467,77.96034,347.06,0.36,0.58,2025-06-21,0731,N,nominal,2.0NRT,297.72,2.8,D
8.98288,78.01498,348.72,0.36,0.57,2025-06-21,0733,N,nominal,2.0NRT,300.26,6.29,D
9.01801,77.90616,331.14,0.37,0.58,2025-06-21,0733,N,nominal,2.0NRT,298.87,1.6,D
9.01742,77.90283,331.25,0.37,0.58,2025-06-21,0733,N,nominal,2.0NRT,299.05,1.6,D
9.01683,77.8995,334.19,0.37,0.58,2025-06-21,0733,N,nominal,2.0NRT,298.82,1.51,D
9.02274,77.90186,367,0.37,0.58,2025-06-21,0733,N,high,2.0NRT,298.9,12.81,D
9.02214,77.89853,345.66,0.37,0.58,2025-06-21,0733,N,nominal,2.0NRT,297.75,5.94,D
9.02087,77.90122,367,0.37,0.58,2025-06-21,0733,N,high,2.0NRT,299.78,8.43,D
