latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
33.04103,97.97512,339.99,0.43,0.46,2025-06-26,603,N,VIIRS,n,2.0NRT,294.2,4.44,D
7.517,81.18832,327.71,0.56,0.43,2025-06-26,737,N,VIIRS,n,2.0NRT,294.64,2.68,D
7.99289,81.47752,333.81,0.53,0.42,2025-06-26,737,N,VIIRS,n,2.0NRT,297.46,4.77,D
8.07035,81.4569,329.45,0.53,0.42,2025-06-26,737,N,VIIRS,n,2.0NRT,298.23,3.63,D
11.68355,79.13286,330.04,0.43,0.46,2025-06-26,739,N,VIIRS,n,2.0NRT,284.91,4.0,D
11.68775,79.13213,340.34,0.43,0.46,2025-06-26,739,N,VIIRS,n,2.0NRT,286.77,4.0,D
11.69096,78.92566,335.68,0.44,0.46,2025-06-26,739,N,VIIRS,n,2.0NRT,291.21,3.72,D
11.92774,79.0175,332.32,0.43,0.46,2025-06-26,739,N,VIIRS,n,2.0NRT,285.79,2.88,D
28.16137,80.22141,346.61,0.39,0.36,2025-06-26,744,N,VIIRS,n,2.0NRT,298.06,14.68,D
30.06634,96.97662,299.45,0.52,0.67,2025-06-26,1828,N,VIIRS,n,2.0NRT,284.94,1.97,N
30.06824,96.97811,299.26,0.52,0.67,2025-06-26,1828,N,VIIRS,n,2.0NRT,284.58,1.6,N
29.26168,91.92387,300.28,0.5,0.49,2025-06-26,2008,N,VIIRS,n,2.0NRT,284.93,0.97,N
30.95019,97.36536,298.4,0.47,0.64,2025-06-26,2008,N,VIIRS,n,2.0NRT,282.74,1.61,N
32.1324,74.17597,306.14,0.38,0.59,2025-06-26,2008,N,VIIRS,n,2.0NRT,282.38,1.08,N
35.98987,94.83179,303.73,0.52,0.5,2025-06-26,2008,N,VIIRS,n,2.0NRT,279.8,1.04,N
23.98713,79.39178,303.05,0.46,0.39,2025-06-26,2010,N,VIIRS,n,2.0NRT,284.03,1.35,N
23.98774,79.39025,303.96,0.47,0.39,2025-06-26,2010,N,VIIRS,n,2.0NRT,285.68,0.91,N
24.52884,81.16943,306.04,0.41,0.37,2025-06-26,2010,N,VIIRS,n,2.0NRT,291.22,1.45,N
27.60622,95.40298,303.76,0.43,0.62,2025-06-26,2010,N,VIIRS,n,2.0NRT,287.69,2.09,N
28.85112,77.16016,306.62,0.46,0.47,2025-06-26,2010,N,VIIRS,n,2.0NRT,290.98,0.38,N
29.0849,88.00957,308.15,0.47,0.4,2025-06-26,2010,N,VIIRS,n,2.0NRT,282.44,1.64,N
29.12756,75.7728,309.99,0.56,0.52,2025-06-26,2010,N,VIIRS,n,2.0NRT,290.21,3.94,N
29.22378,88.35323,301.02,0.49,0.4,2025-06-26,2010,N,VIIRS,n,2.0NRT,286.81,0.93,N
29.45766,76.86644,311.66,0.49,0.49,2025-06-26,2010,N,VIIRS,n,2.0NRT,291.07,3.42,N
30.88371,76.83806,309.22,0.51,0.49,2025-06-26,2010,N,VIIRS,n,2.0NRT,289.78,5.28,N
17.50865,78.43375,315.86,0.44,0.39,2025-06-26,2012,N,VIIRS,n,2.0NRT,287.13,1.14,N
17.5122,78.43431,306.29,0.44,0.39,2025-06-26,2012,N,VIIRS,n,2.0NRT,287.77,1.14,N
9.37112,80.65385,306.76,0.4,0.37,2025-06-26,2014,N,VIIRS,n,2.0NRT,291.59,1.28,N
10.83789,79.84723,297.56,0.38,0.36,2025-06-26,2014,N,VIIRS,n,2.0NRT,275.53,0.61,N
11.26653,80.00265,314.85,0.38,0.36,2025-06-26,2014,N,VIIRS,n,2.0NRT,290.63,1.88,N
11.26985,80.00318,320.21,0.38,0.36,2025-06-26,2014,N,VIIRS,n,2.0NRT,290.51,1.88,N
12.26523,79.55123,307.06,0.39,0.36,2025-06-26,2014,N,VIIRS,n,2.0NRT,291.15,1.92,N
13.07758,79.98297,305.24,0.38,0.36,2025-06-26,2014,N,VIIRS,n,2.0NRT,285.9,0.78,N
13.08089,79.98351,308.76,0.38,0.36,2025-06-26,2014,N,VIIRS,n,2.0NRT,286.86,0.78,N
13.082,79.97645,318.59,0.38,0.36,2025-06-26,2014,N,VIIRS,n,2.0NRT,288.07,1.85,N
13.39079,80.10242,296.17,0.38,0.36,2025-06-26,2014,N,VIIRS,n,2.0NRT,267.5,0.45,N
6.62999,81.21171,330.82,0.43,0.38,2025-06-26,2017,N,VIIRS,n,2.0NRT,293.1,5.38,N
6.63063,81.20782,304.78,0.43,0.38,2025-06-26,2017,N,VIIRS,n,2.0NRT,291.41,3.79,N
6.66846,80.74423,307.51,0.41,0.37,2025-06-26,2017,N,VIIRS,n,2.0NRT,290.44,0.88,N
6.67189,80.7448,307.53,0.41,0.37,2025-06-26,2017,N,VIIRS,n,2.0NRT,290.76,0.78,N
7.03523,81.13519,301.4,0.43,0.38,2025-06-26,2017,N,VIIRS,n,2.0NRT,286.2,0.91,N
7.0358,81.13166,302.26,0.43,0.38,2025-06-26,2017,N,VIIRS,n,2.0NRT,285.41,0.91,N
6.29265,81.3601,328.25,0.39,0.59,2025-06-27,720,N,VIIRS,n,2.0NRT,294.03,2.0,D
6.29274,81.35954,329.73,0.39,0.59,2025-06-27,720,N,VIIRS,n,2.0NRT,294.04,2.87,D
7.3652,81.31638,330.9,0.38,0.58,2025-06-27,720,N,VIIRS,n,2.0NRT,289.73,3.03,D
7.54743,81.16933,330.72,0.38,0.59,2025-06-27,720,N,VIIRS,n,2.0NRT,285.58,4.31,D
8.24031,80.1579,327.69,0.44,0.62,2025-06-27,720,N,VIIRS,n,2.0NRT,287.91,3.04,D
8.34178,80.22992,334.29,0.43,0.62,2025-06-27,720,N,VIIRS,n,2.0NRT,289.54,3.25,D
